A,B,C,D,E,F,G,model,survey,id
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,1
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,2
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,3
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,4
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,5
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,6
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,7
No,No,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,8
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,9
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,10
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,11
No,Yes,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,12
No,Yes,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,13
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,14
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,15
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,16
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,17
No,Yes,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,18
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,19
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,20
No,Yes,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,21
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,22
No,Yes,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,23
No,No,Yes,No,Yes,No,Yes,gemma2:9b,overreporting,24
No,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,25
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,26
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,27
No,No,Yes,No,No,No,Yes,gemma2:9b,overreporting,28
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,29
No,No,Yes,No,No,No,Yes,gemma2:9b,overreporting,30
No,Yes,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,31
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,32
No,Yes,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,33
No,No,Yes,No,No,Yes,Yes,gemma2:9b,overreporting,34
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,35
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,36
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,37
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,38
No,No,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,39
No,Yes,Yes,No,Yes,Yes,No,gemma2:9b,overreporting,40
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,41
Yes,No,Yes,No,Yes,No,No,gemma2:9b,overreporting,42
No,No,Yes,No,No,Yes,No,gemma2:9b,overreporting,43
No,No,Yes,No,Yes,Yes,Yes,gemma2:9b,overreporting,44
