A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,1
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,2
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,3
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,4
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,5
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,6
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,7
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,8
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,9
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,10
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,11
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,12
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,13
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,14
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,15
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,16
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,17
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,18
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,19
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,20
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,21
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,22
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,23
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,24
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,25
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,26
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-8b,underreporting,27
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,28
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,29
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,30
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,31
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,32
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,33
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,34
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,35
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,36
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,37
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,38
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,39
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,40
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,41
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,42
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,43
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,44
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,45
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,46
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,47
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,48
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,49
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,50
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,51
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,52
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,53
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,54
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,55
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,56
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,57
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,58
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,59
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,60
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,61
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,62
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,63
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,64
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,65
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,66
No,No,No,Yes,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,67
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,68
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,69
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,70
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,71
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,72
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,73
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,74
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,75
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,76
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,77
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,78
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,79
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,80
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-8b,underreporting,81
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,82
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,83
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,84
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,85
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,86
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,87
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,88
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,89
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,90
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,91
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,92
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,93
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,94
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,95
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,96
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,97
No,No,No,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,98
No,No,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,99
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,100
