A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,1
No,Yes,Yes,Yes,No,Yes,Yes,gpt-4o-mini,overreporting,2
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,3
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,overreporting,4
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,overreporting,5
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,overreporting,6
No,Yes,Yes,Yes,No,No,Yes,gpt-4o-mini,overreporting,7
Yes,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,8
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,9
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,10
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,overreporting,11
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,12
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o-mini,overreporting,13
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,14
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,15
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,16
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,overreporting,17
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,18
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,19
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,20
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,21
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,22
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,23
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,24
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,25
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,26
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,overreporting,27
Yes,Yes,No,No,No,No,Yes,gpt-4o-mini,overreporting,28
Yes,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,overreporting,29
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,overreporting,30
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,31
No,Yes,Yes,No,No,No,No,gpt-4o-mini,overreporting,32
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,overreporting,33
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,overreporting,34
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,overreporting,35
