A,B,C,D,E,F,G,model,survey,id
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,1
No,No,No,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,2
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,3
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,4
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,5
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,6
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,7
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,8
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,9
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,10
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,11
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,12
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,13
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,14
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,15
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,16
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,17
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,18
Yes,No,Yes,Yes,Yes,No,No,gemini-1.5-flash-8b,overreporting,19
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,20
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,21
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,22
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,23
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,24
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,25
Yes,No,Yes,No,No,No,No,gemini-1.5-flash-8b,overreporting,26
Yes,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,27
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,28
Yes,No,No,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,29
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,30
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,31
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,32
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,33
No,No,Yes,No,Yes,Implied,Yes,gemini-1.5-flash-8b,overreporting,34
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,35
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,36
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,37
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,38
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,39
No,No,Yes,No,No,Yes,No,gemini-1.5-flash-8b,overreporting,40
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,overreporting,41
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,42
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,43
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,44
Yes,No,Yes,No,No,Yes,No,gemini-1.5-flash-8b,overreporting,45
Yes,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,46
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,47
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,48
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,49
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,50
No,No,Yes,No,Yes,Yes,Yes,gemini-1.5-flash-8b,overreporting,51
Yes,No,Yes,No,Yes,Yes,No,gemini-1.5-flash-8b,overreporting,52
No,No,Yes,No,Yes,No,Yes,gemini-1.5-flash-8b,overreporting,53
No,No,Yes,No,No,No,Yes,gemini-1.5-flash-8b,overreporting,54
No,No,Yes,No,No,Yes,Yes,gemini-1.5-flash-8b,overreporting,55
No,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,56
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,57
Yes,No,Yes,No,Yes,No,No,gemini-1.5-flash-8b,overreporting,58
