A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,1
No,Yes,Yes,No,No,Yes,C,gpt-4o-mini,overreporting,2
No,No,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,3
No,Yes,No,Yes,No,Yes,F,gpt-4o-mini,overreporting,4
No,Yes,No,No,No,Yes,F,gpt-4o-mini,overreporting,5
No,No,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,6
No,No,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,7
No,No,No,No,No,Yes,F,gpt-4o-mini,overreporting,8
No,No,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,9
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,overreporting,10
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,11
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,overreporting,12
No,No,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,13
No,No,No,No,No,Yes,F,gpt-4o-mini,overreporting,14
No,No,No,No,No,Yes,F,gpt-4o-mini,overreporting,15
No,No,Yes,No,Yes,Yes,C,gpt-4o-mini,overreporting,16
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,overreporting,17
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,18
No,No,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,19
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,20
No,No,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,21
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,overreporting,22
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,overreporting,23
No,No,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,24
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,overreporting,25
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,overreporting,26
No,No,No,No,No,Yes,F,gpt-4o-mini,overreporting,27
