A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,1
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,2
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,3
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,4
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,5
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,6
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,7
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,8
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,9
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,10
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,11
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,12
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,13
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,14
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,15
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,16
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,17
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,18
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,19
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,20
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,21
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,22
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,23
Yes,No,Yes,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,24
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,25
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,26
No,Yes,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,27
No,Yes,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,28
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,29
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,30
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,31
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,32
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,33
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,34
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,35
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,36
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,37
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,38
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,39
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,40
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,41
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,42
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,43
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,44
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,45
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,46
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,47
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,48
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,49
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,50
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,51
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,52
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,53
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,54
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,underreporting,55
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,56
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,57
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,58
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,59
No,No,Yes,No,Yes,No,C,gemini-1.5-flash-8b,underreporting,60
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,61
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,62
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,63
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,64
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,65
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,66
No,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,67
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,68
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,69
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,70
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,71
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,72
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,73
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,underreporting,74
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,75
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,76
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,77
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,78
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,underreporting,79
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,80
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,81
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,82
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,83
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,84
No,Yes,No,No,Yes,Yes,F,gemini-1.5-flash-8b,underreporting,85
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,underreporting,86
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,87
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,88
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,89
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,90
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,91
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,92
Yes,No,Yes,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,93
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,94
Yes,No,Yes,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,95
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,underreporting,96
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,97
Yes,No,Yes,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,98
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,underreporting,99
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,underreporting,100
