A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,1
No,Yes,Yes,Yes,No,Yes,F,gpt-4o,overreporting,2
No,Yes,Yes,No,Yes,Yes,C,gpt-4o,overreporting,3
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,4
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,5
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,6
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,7
No,Yes,Yes,No,No,Yes,B,gpt-4o,overreporting,8
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,9
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,10
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,11
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,12
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,13
No,Yes,Yes,No,Yes,No,B,gpt-4o,overreporting,14
No,Yes,Yes,No,No,No,C,gpt-4o,overreporting,15
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,16
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,17
No,Yes,No,No,No,Yes,F,gpt-4o,overreporting,18
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,19
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,20
No,Yes,Yes,No,No,No,C,gpt-4o,overreporting,21
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,22
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,23
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,24
No,Yes,Yes,No,Yes,Yes,F,gpt-4o,overreporting,25
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,26
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,27
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,28
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,29
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,30
No,Yes,No,No,No,Yes,F,gpt-4o,overreporting,31
No,Yes,Yes,No,No,Yes,C,gpt-4o,overreporting,32
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,33
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,34
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,35
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,36
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,37
No,Yes,Yes,No,No,Yes,F,gpt-4o,overreporting,38
No,Yes,Yes,No,Yes,No,C,gpt-4o,overreporting,39
No,Yes,Yes,No,Yes,Yes,C,gpt-4o,overreporting,40
