A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,1
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,2
No,No,No,No,No,Yes,F,gemma2:2b,underreporting,3
No,No,Yes,Yes,Yes,No,C,gemma2:2b,underreporting,4
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,5
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,6
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,7
No,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,8
No,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,9
No,Yes,No,No,No,No,B,gemma2:2b,underreporting,10
No,Yes,No,No,No,No,B,gemma2:2b,underreporting,11
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,12
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,13
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,14
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,15
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,16
No,Yes,Yes,No,Yes,No,E,gemma2:2b,underreporting,17
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,18
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,19
No,Yes,Yes,No,Yes,No,E,gemma2:2b,underreporting,20
No,No,No,No,Yes,No,E,gemma2:2b,underreporting,21
No,No,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,22
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,23
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,24
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,25
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,26
,,,,,,,gemma2:2b,underreporting,27
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,28
No,Yes,No,No,Yes,Yes,F,gemma2:2b,underreporting,29
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,30
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,31
Yes,No,No,Yes,Yes,No,A,gemma2:2b,underreporting,32
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,33
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,34
Yes,Yes,No,No,Yes,No,A,gemma2:2b,underreporting,35
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,36
No,No,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,37
Yes,Yes,No,No,Yes,No,A,gemma2:2b,underreporting,38
No,Yes,No,No,No,No,B,gemma2:2b,underreporting,39
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,40
Yes,No,No,No,Yes,No,E,gemma2:2b,underreporting,41
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,42
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,43
No,No,Yes,No,No,Yes,F,gemma2:2b,underreporting,44
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,45
No,Yes,No,No,No,Yes,F,gemma2:2b,underreporting,46
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,47
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,48
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,49
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,50
Yes,Yes,Yes,No,Yes,No,C,gemma2:2b,underreporting,51
No,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,52
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,53
Yes,Yes,Yes,No,Yes,No,A,gemma2:2b,underreporting,54
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,55
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,56
No,Yes,Yes,No,No,No,C,gemma2:2b,underreporting,57
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,58
No,No,Yes,No,No,No,C,gemma2:2b,underreporting,59
Yes,Yes,No,No,Yes,No,A,gemma2:2b,underreporting,60
No,No,Yes,No,Yes,No,C,gemma2:2b,underreporting,61
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,62
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,63
Yes,No,No,No,Yes,Yes,F,gemma2:2b,underreporting,64
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,65
No,Yes,No,No,Yes,No,B,gemma2:2b,underreporting,66
No,No,No,No,No,Yes,F,gemma2:2b,underreporting,67
No,No,No,No,Yes,Yes,F,gemma2:2b,underreporting,68
Yes,Yes,Yes,No,Yes,No,B,gemma2:2b,underreporting,69
No,Yes,Yes,No,No,No,B,gemma2:2b,underreporting,70
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,71
Yes,No,Yes,Yes,Yes,No,A,gemma2:2b,underreporting,72
No,Yes,Yes,No,Yes,No,C,gemma2:2b,underreporting,73
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,74
No,No,No,No,No,Yes,F,gemma2:2b,underreporting,75
Yes,No,Yes,No,Yes,No,A,gemma2:2b,underreporting,76
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,77
Yes,Yes,Yes,No,Yes,No,A,gemma2:2b,underreporting,78
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,79
Yes,No,No,No,Yes,No,E,gemma2:2b,underreporting,80
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,81
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,82
No,Yes,Yes,No,Yes,Yes,C,gemma2:2b,underreporting,83
Yes,No,Yes,No,No,No,C,gemma2:2b,underreporting,84
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,85
No,Yes,Yes,No,No,Yes,F,gemma2:2b,underreporting,86
No,No,No,No,No,Yes,F,gemma2:2b,underreporting,87
Yes,Yes,No,No,No,No,A,gemma2:2b,underreporting,88
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,underreporting,89
Yes,Yes,No,No,Yes,No,B,gemma2:2b,underreporting,90
No,Yes,Yes,No,No,Yes,C,gemma2:2b,underreporting,91
No,Yes,Yes,No,No,No,C,gemma2:2b,underreporting,92
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,93
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,94
No,Yes,Yes,No,Yes,No,C,gemma2:2b,underreporting,95
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,96
Yes,No,No,No,Yes,No,A,gemma2:2b,underreporting,97
No,No,Yes,No,No,Yes,C,gemma2:2b,underreporting,98
No,No,No,No,No,No,None,gemma2:2b,underreporting,99
