A,B,C,D,E,F,most important category,model,survey,id
Yes,No,No,No,Yes,No,E,gemini-1.5-flash-8b,overreporting,1
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,2
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,3
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,4
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,5
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,6
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,7
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,8
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,9
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,10
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,11
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,12
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,13
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,14
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,15
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,16
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-8b,overreporting,17
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,18
Yes,No,No,No,No,No,A,gemini-1.5-flash-8b,overreporting,19
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,20
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,21
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,22
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,23
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,24
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-8b,overreporting,25
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,26
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-8b,overreporting,27
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,28
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,29
Yes,No,No,No,Yes,No,A,gemini-1.5-flash-8b,overreporting,30
