A,B,C,D,E,F,most important category,model,survey,id
Yes,No,Yes,No,No,No,C,gemma2:2b,overreporting,1
Yes,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,2
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,3
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,4
No,Yes,Yes,No,Yes,Yes,B,gemma2:2b,overreporting,5
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,6
No,Yes,Yes,No,No,Yes,F,gemma2:2b,overreporting,7
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,8
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,9
No,Yes,Yes,No,Yes,No,C,gemma2:2b,overreporting,10
Yes,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,11
Yes,Yes,Yes,No,Yes,No,C,gemma2:2b,overreporting,12
No,No,No,No,Yes,No,E,gemma2:2b,overreporting,13
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,14
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,15
Yes,Yes,No,No,No,No,B,gemma2:2b,overreporting,16
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,17
No,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,18
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,19
No,No,Yes,No,Yes,No,C,gemma2:2b,overreporting,20
No,Yes,Yes,No,No,No,B,gemma2:2b,overreporting,21
No,Yes,Yes,No,No,Yes,C,gemma2:2b,overreporting,22
Yes,No,Yes,No,No,No,C,gemma2:2b,overreporting,23
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,24
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,25
No,No,No,No,Yes,Yes,F,gemma2:2b,overreporting,26
No,Yes,Yes,No,No,No,C,gemma2:2b,overreporting,27
No,No,No,No,Yes,No,E,gemma2:2b,overreporting,28
No,No,Yes,No,No,Yes,C,gemma2:2b,overreporting,29
No,Yes,Yes,No,No,No,C,gemma2:2b,overreporting,30
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,31
No,Yes,Yes,No,Yes,No,C,gemma2:2b,overreporting,32
No,Yes,No,No,Yes,Yes,B,gemma2:2b,overreporting,33
No,No,Yes,No,No,Yes,F,gemma2:2b,overreporting,34
Yes,Yes,Yes,No,No,No,A,gemma2:2b,overreporting,35
Yes,No,Yes,No,Yes,No,A,gemma2:2b,overreporting,36
Yes,No,No,No,Yes,No,A,gemma2:2b,overreporting,37
Yes,Yes,No,No,Yes,No,A,gemma2:2b,overreporting,38
Yes,No,Yes,No,Yes,Yes,A,gemma2:2b,overreporting,39
No,Yes,Yes,No,Yes,Yes,F,gemma2:2b,overreporting,40
