A,B,C,D,E,F,most important category,model,survey,id
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,1
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,2
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,3
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,4
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,overreporting,5
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,6
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,7
No,No,Yes,No,Yes,Yes,C,gemini-1.5-flash-002,overreporting,8
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,overreporting,9
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,10
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,11
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,12
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,13
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,14
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,15
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,16
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,17
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,18
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,19
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,20
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,21
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,22
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,23
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,24
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,25
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,26
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,27
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,28
No,Yes,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,29
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,overreporting,30
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,31
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,32
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,33
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,34
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,35
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,36
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,37
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,38
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,39
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,40
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,41
No,No,Yes,No,Yes,Yes,F,gemini-1.5-flash-002,overreporting,42
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,43
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,44
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,45
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,46
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,47
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,48
No,Yes,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,49
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,50
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,51
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,52
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,53
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,54
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,55
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,56
No,No,Yes,No,No,Yes,F,gemini-1.5-flash-002,overreporting,57
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,58
No,No,Yes,No,No,Yes,C,gemini-1.5-flash-002,overreporting,59
