A,B,C,D,E,F,most important category,model,survey,id
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,1
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,2
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,3
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,4
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,5
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,6
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,7
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,8
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,9
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,10
No,No,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,11
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,12
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,13
No,No,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,14
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,15
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,16
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,17
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,18
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,19
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,20
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,21
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,22
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,23
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,24
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,25
No,No,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,26
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,27
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,28
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,29
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,30
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,31
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,32
No,No,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,33
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,34
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,35
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,36
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,37
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,38
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,39
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,40
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,41
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,42
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,43
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,44
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,45
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,46
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,47
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,48
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,49
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,50
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,51
No,No,No,Yes,Yes,Yes,F,gpt-4o-mini,underreporting,52
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,53
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,54
No,No,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,55
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,56
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,57
No,Yes,Yes,No,Yes,Yes,F,gpt-4o-mini,underreporting,58
No,Yes,Yes,No,Yes,Yes,C,gpt-4o-mini,underreporting,59
No,Yes,Yes,No,No,Yes,F,gpt-4o-mini,underreporting,60
No,Yes,No,No,No,Yes,F,gpt-4o-mini,underreporting,61
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,62
No,No,Yes,Yes,No,Yes,F,gpt-4o-mini,underreporting,63
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,64
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,65
No,No,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,66
No,Yes,No,No,Yes,Yes,F,gpt-4o-mini,underreporting,67
No,No,No,No,No,Yes,F,gpt-4o-mini,underreporting,68
