A,B,C,D,E,F,G,model,survey,id
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,1
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,2
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,3
No,Yes,No,No,No,Yes,No,gpt-4o-mini,underreporting,4
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,5
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,6
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,7
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,8
No,Yes,Yes,No,No,No,No,gpt-4o-mini,underreporting,9
No,Yes,Yes,Yes,Yes,Yes,Yes,gpt-4o-mini,underreporting,10
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,11
No,Yes,Yes,Yes,No,Yes,No,gpt-4o-mini,underreporting,12
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,13
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,14
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,15
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,16
No,Yes,No,No,No,Yes,Yes,gpt-4o-mini,underreporting,17
No,Yes,Yes,Yes,Yes,No,Yes,gpt-4o-mini,underreporting,18
Yes,No,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,19
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,underreporting,20
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,21
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,22
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,23
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,24
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,25
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,26
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,27
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,28
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,29
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,30
Yes,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,31
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,32
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,33
No,No,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,34
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,35
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,36
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,37
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,38
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,39
Yes,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,40
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,41
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,42
Yes,No,Yes,No,Yes,No,Yes,gpt-4o-mini,underreporting,43
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,44
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,45
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,46
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,47
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,48
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,49
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,50
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,51
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,underreporting,52
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,53
Yes,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,54
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,55
No,Yes,No,No,No,No,Yes,gpt-4o-mini,underreporting,56
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,57
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,58
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,59
No,Yes,Yes,No,Yes,No,Yes,gpt-4o-mini,underreporting,60
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,61
No,Yes,Yes,Yes,Yes,Yes,No,gpt-4o-mini,underreporting,62
Yes,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,63
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,64
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,65
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,66
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,67
No,Yes,No,No,Yes,Yes,No,gpt-4o-mini,underreporting,68
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,69
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,70
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,71
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,72
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,73
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,74
No,Yes,Yes,No,No,Yes,No,gpt-4o-mini,underreporting,75
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,76
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,77
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,78
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,79
No,Yes,Yes,Yes,Yes,No,No,gpt-4o-mini,underreporting,80
No,Yes,No,No,No,Yes,Yes,gpt-4o-mini,underreporting,81
Yes,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,82
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,83
No,No,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,84
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,85
Yes,Yes,No,No,No,No,Yes,gpt-4o-mini,underreporting,86
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,87
No,Yes,Yes,No,No,No,Yes,gpt-4o-mini,underreporting,88
No,No,Yes,Yes,Yes,Yes,Yes,gpt-4o-mini,underreporting,89
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,90
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,91
No,No,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,92
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,93
Yes,Yes,No,Yes,No,Yes,Yes,gpt-4o-mini,underreporting,94
No,Yes,Yes,No,No,Yes,Yes,gpt-4o-mini,underreporting,95
No,Yes,Yes,No,Yes,Yes,No,gpt-4o-mini,underreporting,96
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,97
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,98
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,99
No,Yes,Yes,No,Yes,Yes,Yes,gpt-4o-mini,underreporting,100
